하천명,시점위치(위도),시점위치(경도),종점위치(위도),종점위치(경도)
대양천,36.0300982,127.4127011,36.043869,127.4255571
궁동천,36.0779876,127.4168763,36.0446078,127.4378386
신정천,36.0071715,127.5122839,36.0307366,127.5103408
신동천,35.9895643,127.4811306,36.0098117,127.5137374
보석천,36.0655713,127.4589311,36.0374416,127.515011
성곡천,36.0740306,127.4849806,36.0514592,127.4915616
관천,36.0651812,127.5288829,36.0828865,127.5085472
금산천,36.1036109,127.4674406,36.0979175,127.5155587
후곤천,36.1075,127.4672222,36.1028158,127.49909
기사천,36.1237684,127.4485763,36.1075994,127.5387765
개성천,36.1473856,127.4522723,36.1309626,127.4699051
오룡천,36.1163737,127.4575546,36.1268001,127.4848311
외부천,36.1620802,127.4702353,36.1227531,127.4978004
대암천,36.1613525,127.4902835,36.156174,127.4931406
조정천,36.1919702,127.5237522,36.1176895,127.5554118
추풍천,36.1750074,127.4590061,36.2358619,127.5166793
서대천,36.2051647,127.5187936,36.2259213,127.5061933
성당천,36.240625,127.5319528,36.2345013,127.5146205
상곡천,36.1949592,127.5575428,36.2160073,127.566959
갑천,36.1530556,127.3352778,36.154588,127.3328485
유등천,36.1582662,127.3969126,36.2520574,127.3766891
삼가천,36.1224086,127.3944054,36.158022,127.3974322
진산천,36.133571,127.359934,36.158022,127.3974322
금성천,36.1783176,127.4413361,36.1639117,127.3971467
지방천,36.1534074,127.3569441,36.2068756,127.3807381
세골천,36.0979091,127.4828497,36.0981937,127.4863146
신대리천,36.0879045,127.4890851,36.0933262,127.5094777
음지2리천,36.0906203,127.4587117,36.0999322,127.4715973
상어동천,36.0860642,127.4626311,36.0937351,127.4641235
보티천,36.0930815,127.4450295,36.1004311,127.4533933
계진천,36.0872069,127.4706955,36.1013719,127.4723406
왜정골천,36.0964271,127.4438928,36.0997476,127.4473255
둑실천,36.1376386,127.4468773,36.1365904,127.4604155
의총유지천,36.151044,127.4667387,36.1360213,127.4981273
상촌천,36.1119801,127.4391211,36.1229917,127.4404779
상탄천,36.1286022,127.4300722,36.1229917,127.4404779
상가천,36.1280745,127.4412176,36.1280191,127.4533258
갈골천,36.1412746,127.4641065,36.1305116,127.4753581
왜벌천,36.1631552,127.4952592,36.1605544,127.491157
왕재골천,36.1686587,127.4938802,36.1609741,127.4908032
도곡천,36.1113318,127.4455179,36.1160783,127.4564393
신방천,36.1595732,127.5503376,36.1230719,127.5429392
신안곡천,36.1715096,127.5819353,36.1215224,127.5688061
천황천,36.1279172,127.5561786,36.1184843,127.5540745
바래실천,36.1352616,127.5228048,36.1305999,127.5387974
금성골천,36.0967992,127.5579294,36.1001675,127.5858007
흰바위천,36.1017614,127.5437386,36.1078221,127.5459785
흰바위2천,36.0994456,127.538421,36.1077765,127.5452371
수당천,36.1254136,127.5242786,36.1064329,127.5230237
구상천,36.1410886,127.5356777,36.1401307,127.531127
길곡천,36.1657962,127.5624855,36.1516169,127.5728195
재두천,36.1446802,127.5631644,36.1527977,127.5705002
화원골천,36.1631844,127.5861381,36.1598411,127.5764439
천내천,36.111482,127.5991391,36.1147883,127.5955533
더덕골천,36.0859091,127.5363965,36.0991867,127.5311488
기물천,36.0832123,127.5454339,36.1004512,127.5316643
예미천,36.065466,127.5675816,36.0767232,127.5695294
노티천,36.0402298,127.5543853,36.0506104,127.5591962
불이동천,36.0572112,127.5457815,36.0628834,127.5489027
가마실천,36.14393,127.493894,36.1368152,127.4998402
보광천,36.203724,127.5426882,36.2085037,127.5663609
안보광천,36.2115778,127.5488405,36.2071718,127.5537631
호티천,36.1245554,127.5077148,36.118885,127.5041087
배원이천,36.1255052,127.5129758,36.1123082,127.512038
시드물천,36.1815803,127.5424387,36.131883,127.500334
안가마실천,36.1815803,127.5424387,36.1381994,127.5041178
새터천,36.1454413,127.5024036,36.1394962,127.4973079
생이지골천,36.1470669,127.5032653,36.142027,127.4957789
헌터골천,36.1629051,127.5184902,36.1605679,127.5273069
노른이천,36.1655104,127.5331945,36.1615843,127.5277092
통점천,36.1768448,127.5069698,36.1767112,127.5240421
모두검터천,36.1963425,127.5202043,36.1884024,127.522366
황골천,36.1975507,127.5307725,36.1899061,127.523907
지내말천,36.2149301,127.5798662,36.2119051,127.5692252
죽말천,36.2026848,127.5821559,36.2065137,127.569846
자전리천,36.1921112,127.5793513,36.198061,127.5640783
아랫자전천,36.1861771,127.5799715,36.1906779,127.5757414
사기점천,36.1881718,127.5457978,36.1949592,127.5575428
두두천,36.1733587,127.5389007,36.169111,127.5249283
일월이재천,36.1470379,127.5222411,36.1511134,127.5284348
말거리천,36.1906198,127.5607524,36.1949592,127.5575428
안골남이천,36.1906198,127.5607524,36.1949592,127.5575428
신천천,36.0323272,127.4909795,36.040416,127.5060534
황풍천,36.0824045,127.4985918,36.0834959,127.5063509
사미실천,36.077129,127.5017974,36.0787109,127.5073503
평대천,36.027,127.5183001,36.0305699,127.5124501
홍도천,36.0178773,127.5283452,36.0181652,127.5115398
원동천,36.0051916,127.5243189,36.0105382,127.5136513
솔재천,35.987605,127.5130432,36.0068385,127.5115729
사기소천,36.0085988,127.4911093,36.0014607,127.4903433
수천리천,35.9995892,127.501078,36.0070631,127.5001237
다리골천,36.0617278,127.5144093,36.0605654,127.508345
신대천,36.0539173,127.4317689,36.0545782,127.4368361
