한글보통명,위도,경도
고라니,36.83843982,126.2321592
너구리,36.84062982,126.2361792
고라니,36.83656982,126.2176592
고라니,36.81640982,126.2202792
너구리,36.83507982,126.2198992
고라니,36.83090982,126.2284292
너구리,36.82799982,126.2328392
고라니,36.81331983,126.2426192
고라니,36.75065984,126.1395392
고라니,36.81466983,126.2311592
너구리,36.81547983,126.2390592
너구리,36.83466982,126.2482492
너구리,36.86867981,126.2132992
너구리,36.81583983,126.2298492
고라니,36.83496982,126.2229292
고라니,36.83430982,126.2542692
고라니,36.81455983,126.2291192
고라니,36.82405982,126.2280192
고라니,36.82239982,126.2337092
고라니,36.81468983,126.2297392
고라니,36.82427982,126.2301592
고라니,36.81267982,126.1903592
고라니,36.83327982,126.2273492
고라니,36.83524982,126.2528792
고라니,36.83515982,126.2528092
고라니,36.83202982,126.2398992
고라니,36.82449982,126.2378692
고라니,36.81150983,126.2328492
너구리,36.76654983,126.1572692
고라니,36.76146983,126.1559592
고라니,36.77925983,126.1373792
고라니,36.76619983,126.1319892
고라니,36.78028983,126.1564292
고라니,36.76181983,126.1564392
고라니,36.76580983,126.1562692
고라니,36.78760983,126.1882692
고라니,36.84519981,126.1561892
고라니,36.80978982,126.1676092
고라니,36.79376983,126.1850592
고양이,36.83428981,126.1552492
고라니,36.77038984,126.2071692
고라니,36.76504984,126.2034692
고라니,36.76850984,126.1970892
고라니,36.84111981,126.1603292
고라니,36.81230982,126.1630392
고라니,36.81488982,126.1715292
고라니,36.82671982,126.1893692
고라니,36.83861981,126.1648492
고라니,36.81036982,126.1739592
고라니,36.81078982,126.1582692
고라니,36.76502984,126.1873892
고라니,36.80920982,126.1682692
고라니,36.82438982,126.1631092
너구리,36.78520983,126.1871192
고라니,36.81218982,126.1652092
고라니,36.76743984,126.2054192
너구리,36.81750982,126.1702592
고라니,36.84285981,126.1593092
고라니,36.81303982,126.1599492
너구리,36.77163983,126.2065192
고라니,36.84307981,126.1604392
너구리,36.82525982,126.1695792
고라니,36.80404982,126.1821292
고라니,36.77795983,126.1836692
고라니,36.80947982,126.1676492
고라니,36.80543982,126.1779861
고라니,36.81993982,126.1705392
고라니,36.76476984,126.2042492
고라니,36.77688983,126.1501192
고라니,36.77749983,126.1507292
두더지,36.78095983,126.1474692
고라니,35.49425043,128.9018219
너구리,35.46461154,128.9024053
고라니,35.46433376,128.9018775
고라니,36.83305564,128.9724884
다람쥐,36.84555563,128.9702662
고라니,36.78972231,128.9644328
고라니,36.81194452,128.9624884
고라니,36.83277786,128.9491551
고라니,35.47144487,128.9160997
족제비,36.84194452,128.9697106
너구리,35.48358376,128.8793775
두더지,35.49386154,128.9021275
두더지,36.83277786,128.9497106
고라니,35.49625043,128.9028497
고라니,35.49400043,128.9022386
멧돼지,35.48044488,128.9853219
멧토끼,35.49477821,128.9732108
너구리,35.45952822,128.9684053
고라니,35.45952822,128.9684053
족제비,35.49530599,128.9728497
고라니,35.48044488,128.9853219
두더지,36.78805564,128.8952663
멧토끼,35.49530599,128.9728497
고라니,35.46383377,128.9735442
두더지,35.46383377,128.9735442
너구리,36.83811982,126.1947292
고양이,37.76243794,126.7016225
멧밭쥐,37.76243044,126.7010192
고라니,37.76150239,126.7067
고양이,37.7626385,126.7010553
고라니,37.76164989,126.7038392
고양이,37.76147822,126.7052428
고라니,37.76185989,126.7032692
고라니,36.84209982,126.1943292
고라니,37.77119739,126.6883081
고라니,36.83310982,126.1900492
