지역,발생건수,위도,경도,도로등급구분코드
경기 안성시,1,37.08760277708836,127.30995849609609,103
경기 안성시,1,37.10268429655624,127.31070799690262,103
경기 안성시,1,37.105739508599584,127.31217999022712,103
경기 용인시 처인구,1,37.159733133570526,127.3215386646866,103
화성,1,37.11553619705,126.88533218711406,103
경남 양산시,1,35.427086268298005,129.18874348111223,103
경남 양산시,1,35.42755841848903,129.18788243713297,103
경남 양산시,1,35.43086334482032,129.175244636014,103
경남 양산시,1,35.43139102195484,129.1732170328478,103
충남 태안군,1,36.78992644467192,126.29409284646792,103
경남 양산시,1,35.43144627015898,129.1573018522007,103
울산 울주군,1,35.44130640436012,129.1672173137669,103
울산 울주군,1,35.441917484799745,129.1694115358459,103
울산 울주군,1,35.43894573483944,129.17582768667566,103
울산 울주군,1,35.43772365324558,129.17563329490804,103
울산 울주군,1,35.433807481560706,129.1773554667327,103
울산 울주군,1,35.43239099580116,129.17807766144608,103
경남 양산시,1,35.43075232823198,129.17954979234335,103
경남 양산시,1,35.42966914747759,129.18085525647203,103
경남 양산시,1,35.429446957267224,129.1811607897461,103
화성,1,37.278933429381446,126.90857536941913,103
충북 음성군,1,37.04805629417331,127.544825813377,103
충남 청양군,1,36.39034702494556,126.93887460625388,103
당진,1,36.91719496102316,126.64880502569495,103
충남 서산시,1,36.80856761836328,126.55648357977864,103
진천,1,36.88946393448085,127.52163810853604,103
서울 은평구,1,37.622086172306666,126.91403735561695,103
울산 동구,1,35.489749908840395,129.41855356889465,103
화성,1,37.18036144530364,126.87333154904546,103
경기 용인시 수지구,1,37.29993384458184,127.07369761772568,103
경남 밀양시,1,35.47001558736537,128.65184812120694,103
경남 밀양시,1,35.48654278286074,128.72589626897684,103
충남 아산시,1,36.77763616441904,127.08104482140016,103
경북 안동시,1,36.55474448676669,128.4934157028299,103
부산 금정구,1,35.22685855327878,129.11822790402897,103
화성,1,37.216527034880414,127.0583681257665,103
강원 평창군,1,37.68369506855733,128.67394791462186,103
대전,1,36.34000096333622,127.44552182734056,103
경기 연천군,1,38.009319715618446,127.08481500022336,103
경기 연천군,1,38.00931973345156,127.08578712710128,103
경기 연천군,1,38.00934751801835,127.08634262736076,103
경기 연천군,1,38.01131965671284,127.09495283621216,103
경기 연천군,1,38.01815230159338,127.1030351764553,103
경기 연천군,1,38.02173548590424,127.11881130180952,103
경기 연천군,1,38.02195773859557,127.12194987636724,103
경남 산청군,1,35.306271339175154,127.90220082611457,103
경기 연천군,1,38.02176335829552,127.12414411133403,103
경기 포천시,1,38.03129128017074,127.19533129537336,103
경기 포천시,1,38.06425965257603,127.20552376736846,103
경기 포천시,1,38.07103657450094,127.2041348144478,103
경기 포천시,1,38.08072989499909,127.20757863453449,103
당진,1,36.79062910522009,126.77124105823586,103
경기 용인시 처인구,1,37.105403329816845,127.15269543848292,103
경기 용인시 처인구,1,37.1050144565286,127.15094561889312,103
인천 미추홀구,1,37.46207362840954,126.67489856211556,103
인천 서구,1,37.6189991975708,126.69022598707926,103
서울 성북구,1,37.58678676975515,127.01616728271377,103
원주,1,37.24929318364818,128.14876171695303,103
원주,1,37.26012591337617,128.1861466822985,103
부산 서구,1,35.070430647266484,129.017852706277,103
경기 여주시,1,37.18701173613312,127.54743269526008,103
경기 김포시,1,37.62047135908616,126.69689196013776,103
경기 오산시,1,37.17622628645992,127.05359194426087,103
경기 고양시 일산서구,1,37.69235236546093,126.74707945822468,103
서울 노원구,1,37.63294863460533,127.06182817033574,103
인천 서구,1,37.509484016058416,126.64695551911429,103
당진,1,37.03198493410078,126.55419997019716,103
충북 충주시,1,36.99812282703334,127.812884735459,103
충남 아산시,1,36.75441398873186,126.92572711740728,103
충남 예산군,1,36.67936719150445,126.90823085306027,103
창원,1,35.16396860350333,128.66218889304386,103
경기 하남시,1,37.52521425026071,127.19823463665468,103
대전,1,36.34438880058904,127.41627450670134,103
경기 김포시,1,37.61183408750274,126.7283613486538,103
경남 하동군,1,35.19733902658116,127.85923553352792,103
경남 하동군,1,35.197894581109,127.86287406543887,103
충북 청주시 서원구,1,36.45182097108498,127.45174037900448,103
충북 청주시 서원구,1,36.45407068706446,127.45099038883896,103
서울 노원구,1,37.65511259309117,127.0616053327083,103
전북 익산시,1,36.10429904458764,126.99473800015215,103
인천 남동구,1,37.466212345302985,126.69359106590214,103
경기 용인시 처인구,1,37.24891525133387,127.23868304881884,103
경기 포천시,1,38.10422698598626,127.20596698629136,103
전남 장성군,1,35.3016407688708,126.75328179643404,103
대구 동구,1,35.885855238645874,128.65739152713869,103
원주,1,37.24896024465532,128.16748214496408,103
